variable name,source,Description,Observations
ccode,CEPAL,3-letter country code (ISO3),
country,CEPAL,Country name,
cnum,CEPAL,"Country number, based on CEPAL's coding",
year,,,
cct_cov_n_households,CEPAL (social programs data base),Number of households receiving CCT benefits,
household_size,CEPAL,Average household size for each year (used to calculate reach of CCTs in some cases),
cct_cov_n_people,CEPAL (social programs data base),Number of individual beneficiaries of CCT programs,
cct_xpnd_pctGDP,CEPAL (social programs data base),Expenditure in CCT as percentage of the GDP,
program_rank,own elaboration based on data from CEPAL,program rank in terms of number of beneficiaries (in comparison to other exixting CCT programs in the same country),
poverty_rate,CEPAL,Percentage of people living in poverty,
pop,CEPAL,Population,
poverty_n,CEPAL,Absolute number of people living in poverty,
pen_rate_occup_all,CEPAL,"This is a combination of pension enrollment rate and pension contribution rate among all occupied people for all income quintiles. In all cases where pension contribution rate is available (Argentina, Brazil, Chile, Colombia, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua, Paraguay, Peru, Uruguay and Venezuela), this is the indicator used, since it's more accurate than pension enrollment rate. Where this is not available, I used pension enrollment rate. ",
pen_rate_non_waged_all,CEPAL,"This is equivalent to pen_rate_occup_all, but for non-waged, occupied individuals (employers and self-employed)",
pen_rate_waged_all,CEPAL,"This is equivalent to pen_rate_occup_all, but for people receiving a wage (that is, employers and self-employed are excluded)",
pen_gap_waged_non_waged_all,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged and non-waged occupied people,
pen_gap_waged_occup_all,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people and all occupied people,
pen_gap_waged_occup_1,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people and all occupied people in the 1st (bottom) quintile of the income distribution,
pen_gap_waged_occup_2,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people and all occupied people in the 2nd quintile of the income distribution,
pen_gap_waged_occup_3,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people and all occupied people in the 3rd quintile of the income distribution,
pen_gap_waged_occup_4,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people and all occupied people in the 4th quintile of the income distribution,
pen_gap_waged_occup_5,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people and all occupied people in the 5th (top) quintile of the income distribution,
pen_diff_q1q5_waged,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people in the 1st (bottom) and 5th (top) quintile among all occupied individuals,
pen_diff_q1q5_occup,CEPAL,Difference in pension rates (contribution or enrollment rate) between waged people in the 1st (bottom) and 5th (top) quintile among waged individuals,
elderly_covered_any_pension,Arenas de Mesa (2019),Percentage of people above retirement age who receive any kind of pension (contributory and non-contributory),
priv_pens_pct_gdp,AIOSFP,Private pension funds as percentage of the GDP,
ncp_vis_cont,"Rofman, Apella, Vezza (2015)",Amount of non-contributory pension benefit in comparison to average contributory pension benefit,
ncp_targeted,,,
priv_health_exp_pc_USD,World Bank,Domestic private health expenditure per capita (current US$)Ę,
priv_health_exp_pc_ppp,World Bank,"Domestic private health expenditure per capita, PPP (current international $)",
priv_health_exp_pct,World Bank,Domestic private health expenditure (% of current health expenditure),
oop_health_exp_pc_USD,World Bank,Out-of-pocket expenditure per capita (current US$),
oop_health_exp_pc_ppp,World Bank,"Out-of-pocket expenditure per capita, PPP (current international $)",
oop_health_exp_pct,World Bank,Out-of-pocket expenditure (% of current health expenditure),
cat_hexp_risk,World Bank,Risk of catastrophic expenditure for surgical care (% of people at risk),
UHC_index,CEPAL / WHO,"Universal health coverage (UHC)ĘCoverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population).
","The indicator is an index reported on a unitless scale of 0 to 100, which is computed as the geometric mean of 14 tracer indicators of health service coverage. More information here: https://www.who.int/news-room/fact-sheets/detail/universal-health-coverage-(uhc)"
primschoolenrol,CEPAL,Gross enrollment rate in primary school,
pct_priv_primschool,World Bank,Enrollment in private primary school as percentage of total primary school enrollment,
ec_enr_rate,UNESCO - UIS,Gross enrollment rate in early childhood education,
ecdev_enr_rate,UNESCO - UIS,Gross enrollment rate in early childhood educational development programmes,
preprim_enr_rate,UNESCO - UIS,Gross enrollment rate in pre-primary education,
pct_priv_ec,UNESCO - UIS,Enrolment in private early childhood education programmes as percentage of total enrollment,
pct_priv_preprim,UNESCO - UIS,Enrolment in private pre-primary education programmes as percentage of total enrollment,
pct_priv_ecdev,UNESCO - UIS,Enrolment in private developmental education programmes as percentage of total enrollment,
mat_leave_weeks,SSA - Lupica 2016,Duration of paid maternity leave in weeks,
mat_rep_rate,SSA - Lupica 2016,Maternity leave replacement rate,
mat_funding,SSA - Lupica 2016,source of the funding for maternity leave,
pat_leave_days,"Lupica 2016, official government sources, news articles",Duration of paternal leave in days,
leave_gender_bias,,,
total_social_xpnd_pctGDP,,,
envir_xpnd_pctGDP,,,
housing_xpnd_pctGDP,,,
health_pub_xpnd_pctGDP,CEPAL,Public spending in health as percentage of the GDP,
recreation_xpnd_pctGDP,,,
educ_xpnd_pctGDP,CEPAL - WB,Government spending in education as percentage of the GDP (missing values from CEPAL are filled with WB data),
soc_prot_xpnd_pctGDP,,,
total_pub_xpnd_pctGDP,CEPAL,,
gov_hexp_ppp_WB,World Bank,"Domestic general government health expenditure per capita, PPP (current international $)",
educ_exp_pctGDP_WB,World Bank,"Government expenditure on education, total (% of GDP)",
cct_program,,Name of the CCT program,
pen_repl_rate_median_income,"OECD - WB (2015), Panorama pensiones en Lat Am",Pension replacement rate (as compared to median income),